(ep: 8, it: 45200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.447, acc_r: 0.820
(ep: 8, it: 50200, t: 0.001[s], ept: 0.04/0.11[h]) loss_total: 0.434, acc_r: 0.820
(ep: 8, it: 55200, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.551, acc_r: 0.790
(ep: 8, it: 60200, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.576, acc_r: 0.740
(ep: 8, it: 65200, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.562, acc_r: 0.730
(ep: 8, it: 70200, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.485, acc_r: 0.720
(ep: 8, it: 75200, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.499, acc_r: 0.780
(ep: 8, it: 80200, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.539, acc_r: 0.710
(ep: 8, it: 85200, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.581, acc_r: 0.650
(ep: 8, it: 90200, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.518, acc_r: 0.720
(ep: 8, it: 95200, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.631, acc_r: 0.680
(ep: 8, it: 100200, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.522, acc_r: 0.720
(ep: 8, it: 105200, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.566, acc_r: 0.670
(ep: 8, it: 110200, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.622, acc_r: 0.690
(ep: 8, it: 115200, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.616, acc_r: 0.690
(ep: 8, it: 120200, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.491, acc_r: 0.790
(ep: 8, it: 125200, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.551, acc_r: 0.740
(ep: 8, it: 130200, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.526, acc_r: 0.780
(ep: 8, it: 135200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.530, acc_r: 0.700
(ep: 8, it: 140200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.518, acc_r: 0.770
(ep: 8, it: 145200, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.520, acc_r: 0.700
(ep: 8, it: 150200, t: 0.002[s], ept: 0.11/0.11[h]) loss_total: 0.605, acc_r: 0.640
(ep: 9, it: 3800, t: 0.002[s], ept: 0.00/0.11[h]) loss_total: 0.514, acc_r: 0.750
(ep: 9, it: 8800, t: 0.001[s], ept: 0.01/0.11[h]) loss_total: 0.546, acc_r: 0.780
(ep: 9, it: 13800, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.497, acc_r: 0.750
